GRANTEE,PRIVILEGE,ADMIN_OPTION
USER_0,SELECT,YES
USER_0,UPDATE,YES
USER_0,UPDATE,YES
USER_0,SELECT,NO
USER_0,SELECT,NO
USER_0,DELETE,NO
USER_1,UPDATE,YES
USER_1,DROP ANY TABLE,NO
USER_1,UPDATE,NO
USER_2,SELECT,YES
USER_2,DROP ANY TABLE,YES
USER_2,CREATE TABLE,YES
USER_2,DELETE,NO
USER_3,DELETE,YES
USER_3,DELETE,YES
USER_3,DELETE,NO
USER_3,SELECT,YES
USER_3,SELECT,NO
USER_3,SELECT,YES
USER_4,UPDATE,NO
USER_4,CREATE TABLE,YES
USER_4,INSERT,NO
USER_4,UPDATE,YES
USER_4,DROP ANY TABLE,YES
USER_4,SELECT,YES
