GRANTEE,PRIVILEGE,ADMIN_OPTION
USER_000,CREATE TABLE,NO
USER_000,UPDATE ANY TABLE,NO
USER_000,CREATE SESSION,YES
USER_001,CREATE TABLE,NO
USER_001,UPDATE ANY TABLE,YES
USER_001,CREATE TABLE,YES
USER_002,CREATE SESSION,NO
USER_002,UPDATE ANY TABLE,NO
USER_003,CREATE SESSION,YES
USER_003,CREATE TABLE,NO
USER_004,CREATE TABLE,NO
USER_004,SELECT ANY TABLE,YES
USER_004,CREATE USER,NO
USER_005,CREATE TABLE,NO
USER_005,CREATE SESSION,NO
USER_005,INSERT ANY TABLE,NO
USER_005,SELECT ANY TABLE,NO
USER_006,INSERT ANY TABLE,NO
USER_006,INSERT ANY TABLE,YES
USER_006,UPDATE ANY TABLE,NO
USER_007,UPDATE ANY TABLE,YES
USER_007,INSERT ANY TABLE,NO
USER_007,INSERT ANY TABLE,YES
TEST_USER,UPDATE ANY TABLE,YES
TEST_USER,CREATE SESSION,NO
TEST_USER,CREATE TABLE,NO
TEST_USER,SELECT ANY TABLE,YES
ADMIN_BACKUP,UPDATE ANY TABLE,NO
ADMIN_BACKUP,CREATE SESSION,NO
ADMIN_BACKUP,ALTER DATABASE,YES
