USERNAME,ACCOUNT_STATUS,PROFILE,DEFAULT_TABLESPACE,CREATED
USER_0,OPEN,ADMIN_PROFILE,USERS,2025-04-08 15:27:31.364876
USER_1,EXPIRED,APP_PROFILE,USERS,2025-01-28 15:27:31.365877
USER_2,EXPIRED,APP_PROFILE,USERS,2025-09-18 15:27:31.365877
USER_3,EXPIRED,APP_PROFILE,USERS,2025-02-24 15:27:31.365877
USER_4,OPEN,APP_PROFILE,USERS,2025-09-15 15:27:31.365877
USER_5,LOCKED,DEFAULT,USERS,2025-05-02 15:27:31.365877
USER_6,EXPIRED,DEFAULT,USERS,2025-05-08 15:27:31.365877
USER_7,EXPIRED,DEFAULT,USERS,2025-08-24 15:27:31.365877
USER_8,OPEN,APP_PROFILE,USERS,2025-01-16 15:27:31.365877
USER_9,OPEN,APP_PROFILE,USERS,2025-09-26 15:27:31.365877
