SQL_ID,PLAN_HASH_VALUE,SCHEMA_NAME,EXECUTIONS,ELAPSED_TIME_SEC,CPU_TIME_SEC,BUFFER_GETS,DISK_READS,ROWS_PROCESSED,FETCHES,AVG_ELAPSED_SEC,SQL_TEXT
b39m8n96gxk7c,0,SYS,4,33.23,31.79,196370,308,0,0,8.3073,"call dbms_autotask_prvt.run_autotask ( :0,:1 )"
ampw9ddqufjd3,0,SYS,4,32.99,31.56,196020,304,4,0,8.2478,begin /*KAPI:capture*/ dbms_auto_index_internal.capture_sts; end;
0qbzfjt00pbsx,0,SYS,11,13.92,1.26,1770,78,11,0,1.2658,"BEGIN   dbms_isched.log_dbms_output( :logid, :errs, :outputWasEnabled ); END; "
7hnc5ucz8grnt,1869011320,SYS,4,13.22,13.0,2605,33,2362,2366,3.3039,SELECT VALUE(P) FROM TABLE(DBMS_SQLTUNE.SELECT_CURSOR_CACHE( BASIC_FILTER=> q'# (module is null or (module != '#' || :B1 || q'#' and module != '#' || :B2 || q'#')) and sql_text not like 'SELECT /* DS_
2sxqgx5hx76qr,3312420081,SYS,2790,13.14,1.58,9494,304,43753,2790,0.0047,"select /*+ rule */ bucket, endpoint, col#, epvalue, epvalue_raw, ep_repeat_count, endpoint_enc from histgrm$ where obj#=:1 and intcol#=:2 and row#=:3 order by bucket"
c61ajdcqbqn42,2532715356,SYS,2,11.97,11.85,1485,0,606,608,5.9827,"SELECT  new.sql_seq, old.plan_hash_value, sqlset_row(new.sql_id,new.force_matching_signature,  new.sql_text, new.object_list,  new.bind_data, new.parsing_schema_name,  new.module, new.action, new.elap"
a8xypykqc348c,0,SYS,4,9.31,0.8,2032,89,4,0,2.3277,"BEGIN    dbms_stats_internal.advisor_setup_obj_filter(:tid, :rid, 'EXECUTE', FALSE); END;"
0sbbcuruzd66f,2239883476,SYS,8342,9.1,2.44,24268,194,7457,8342,0.0011,"select /*+ rule */ bucket_cnt, row_cnt, cache_cnt, null_cnt, timestamp#, sample_size, minimum, maximum, distcnt, lowval, hival, density, col#, spare1, spare2, avgcln, minimum_enc, maximum_enc from his"
fn0stp00nzmj6,2380431242,SYS,2,8.78,8.54,101,0,1202,1204,4.3921," SELECT /*+ first_rows(1) */ sql_id, force_matching_signature, sql_text, cast(NULL as SQL_OBJECTS) object_list, bind_data, parsing_schema_name, module, action, elapsed_time, cpu_time, buffer_gets, dis"
3un99a0zwp4vd,1475428744,SYS,289,8.06,0.99,6049,181,2396,2685,0.0279,"select owner#,name,namespace,remoteowner,linkname,p_timestamp,p_obj#, nvl(property,0),subname,type#,flags,d_attrs from dependency$ d, obj$ o where d_obj#=:1 and p_obj#=obj#(+) order by order#"
