GRANTEE,GRANTED_ROLE,ADMIN_OPTION,DEFAULT_ROLE
USER_000,APP_ROLE,NO,NO
USER_000,APP_ROLE,NO,NO
USER_001,APP_ROLE,YES,NO
USER_002,RESOURCE,NO,YES
USER_002,RESOURCE,NO,YES
USER_002,DBA,NO,NO
USER_003,CONNECT,YES,NO
USER_003,APP_ROLE,YES,YES
USER_003,DBA,NO,YES
USER_004,SELECT_CATALOG_ROLE,YES,YES
USER_004,CONNECT,NO,NO
USER_004,SELECT_CATALOG_ROLE,NO,YES
USER_005,SELECT_CATALOG_ROLE,YES,YES
USER_006,SELECT_CATALOG_ROLE,YES,NO
USER_007,RESOURCE,YES,YES
USER_007,RESOURCE,NO,YES
USER_007,DBA,YES,NO
USER_008,RESOURCE,NO,YES
USER_008,SELECT_CATALOG_ROLE,NO,NO
USER_009,RESOURCE,NO,YES
USER_009,SELECT_CATALOG_ROLE,YES,NO
USER_009,CONNECT,NO,NO
