USERNAME,ACCOUNT_STATUS,PROFILE,DEFAULT_TABLESPACE,CREATED,LOCK_DATE,EXPIRY_DATE
USER_000,LOCKED,APP_PROFILE,USERS,2025-11-05 18:10:58,2025-12-25 18:10:58,2026-01-28 18:10:58
USER_001,EXPIRED,DEFAULT,USERS,2025-11-07 18:10:58,,2026-03-14 18:10:58
USER_002,OPEN,APP_PROFILE,USERS,2025-06-13 18:10:58,,2026-02-10 18:10:58
USER_003,EXPIRED,DEFAULT,USERS,2025-06-18 18:10:58,,2026-02-15 18:10:58
USER_004,LOCKED,DEFAULT,USERS,2025-12-06 18:10:58,2025-12-14 18:10:58,2026-01-25 18:10:58
USER_005,OPEN,APP_PROFILE,USERS,2025-08-11 18:10:58,,2026-02-13 18:10:58
USER_006,LOCKED,DEFAULT,USERS,2025-11-28 18:10:58,2026-01-03 18:10:58,2026-03-04 18:10:58
USER_007,EXPIRED,DEFAULT,USERS,2025-03-25 18:10:58,,2026-03-18 18:10:58
USER_008,OPEN,ADMIN_PROFILE,USERS,2025-09-20 18:10:58,,2026-02-10 18:10:58
USER_009,LOCKED,APP_PROFILE,USERS,2025-11-01 18:10:58,2025-12-22 18:10:58,2026-03-18 18:10:58
