USERNAME,ACCOUNT_STATUS,PROFILE,DEFAULT_TABLESPACE,CREATED
USER_0,LOCKED,ADMIN_PROFILE,USERS,2025-05-31 16:07:52.126082
USER_1,EXPIRED,DEFAULT,USERS,2025-01-25 16:07:52.126082
USER_2,OPEN,ADMIN_PROFILE,USERS,2025-02-16 16:07:52.126082
USER_3,LOCKED,DEFAULT,USERS,2025-01-13 16:07:52.126082
USER_4,EXPIRED,DEFAULT,USERS,2025-10-30 16:07:52.126082
USER_5,EXPIRED,ADMIN_PROFILE,USERS,2025-03-26 16:07:52.126082
USER_6,EXPIRED,ADMIN_PROFILE,USERS,2025-04-15 16:07:52.126082
USER_7,EXPIRED,APP_PROFILE,USERS,2025-06-22 16:07:52.126082
USER_8,EXPIRED,APP_PROFILE,USERS,2025-09-07 16:07:52.126082
USER_9,OPEN,DEFAULT,USERS,2025-01-12 16:07:52.126082
