SQL_ID,SQL_TEXT,EXECUTIONS,ELAPSED_TIME,CPU_TIME,BUFFER_GETS,DISK_READS,ROWS_PROCESSED
sql_0000,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,253,4937428,2767182,36143,2270,7339
sql_0001,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,750,430017,359211,33992,880,4904
sql_0002,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,182,3116461,1040264,61283,21268,380
sql_0003,SELECT * FROM employees WHERE department_id = 6,809,4751321,2573897,23020,32957,6442
sql_0004,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,645,375992,584185,18379,29351,9109
sql_0005,SELECT * FROM employees WHERE department_id = 4,761,4187315,590798,67078,24656,2446
sql_0006,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,627,2845654,279486,39905,1317,9166
sql_0007,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 568,166,3530006,2039540,60684,15871,1917
sql_0008,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 846,684,2552415,1337694,38031,33871,6753
sql_0009,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,472,2203071,2044465,21832,47835,4204
sql_0010,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,324,2807975,927867,67248,28512,917
sql_0011,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",882,4600716,332798,85441,12317,4706
sql_0012,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,473,1054181,1712991,43924,36230,6399
sql_0013,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,809,4968580,1553778,9821,3151,8406
sql_0014,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 998,237,4918845,209337,27432,21321,359
sql_0015,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 123,621,3533863,2058749,48305,14762,8180
sql_0016,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,3,4680166,1260751,61971,49497,1665
sql_0017,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,354,3395972,2307426,93294,36439,3823
sql_0018,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,284,1893304,223941,39079,7449,1329
sql_0019,SELECT * FROM employees WHERE department_id = 5,788,2506967,544498,64035,4732,1899
sql_0020,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 934,724,2266111,986020,16560,36588,797
sql_0021,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 984,629,1567331,681723,37318,37061,4474
sql_0022,SELECT * FROM employees WHERE department_id = 4,133,601395,2037833,19059,6468,8588
sql_0023,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,546,2483364,1086499,31079,12940,8152
sql_0024,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 178,380,2814359,406855,98903,37440,1086
sql_0025,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",868,509520,2341014,24360,24625,6873
sql_0026,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,123,3424898,1442472,57332,17244,8184
sql_0027,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,31,3689205,1181242,96916,21529,6093
sql_0028,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",478,1173194,2070124,49022,30671,381
sql_0029,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",669,2313957,436966,25539,1592,4989
sql_0030,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 913,762,3186396,1660839,1320,47351,8123
sql_0031,SELECT * FROM employees WHERE department_id = 8,706,4919021,1139194,77847,13048,9277
sql_0032,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 420,70,2046813,404083,31824,41657,8597
sql_0033,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,554,3609915,158148,17324,17868,5382
sql_0034,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,215,2837668,1682769,46618,5917,1834
sql_0035,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",834,1122524,1614262,98140,13242,5127
sql_0036,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,90,4017164,1915269,84446,14937,3453
sql_0037,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 972,519,3295388,900113,70906,14563,9157
sql_0038,SELECT * FROM employees WHERE department_id = 3,257,4124400,1831850,71827,39697,9185
sql_0039,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",237,2703234,539741,63469,33412,5979
sql_0040,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,647,2289411,469015,55133,11799,7634
sql_0041,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 292,670,291160,211674,88184,34695,4011
sql_0042,DELETE FROM temp_table WHERE created_date < SYSDATE - 7,618,2009434,2415955,8166,44082,8188
sql_0043,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 668,736,4238236,1711206,67912,11755,8711
sql_0044,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 378,882,1203504,102091,30013,9789,829
sql_0045,SELECT * FROM employees WHERE department_id = 5,98,4819180,905376,88958,36600,2229
sql_0046,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",812,1623701,278142,2142,25871,5291
sql_0047,UPDATE employees SET salary = salary * 1.1 WHERE employee_id = 394,832,1791918,725299,7055,11713,8028
sql_0048,SELECT COUNT(*) FROM orders WHERE order_date > SYSDATE - 30,302,1032247,2957297,47929,2892,4023
sql_0049,"SELECT e.name, d.dept_name FROM employees e JOIN departments d ON e.dept_id = d.id",68,4716617,531007,57476,23853,9558
