USERNAME,ACCOUNT_STATUS,PROFILE,DEFAULT_TABLESPACE,CREATED
USER_0,LOCKED,DEFAULT,USERS,2025-10-02 16:06:06.776873
USER_1,OPEN,APP_PROFILE,USERS,2025-05-26 16:06:06.776873
USER_2,EXPIRED,APP_PROFILE,USERS,2025-08-14 16:06:06.776873
USER_3,LOCKED,DEFAULT,USERS,2025-08-08 16:06:06.776873
USER_4,EXPIRED,APP_PROFILE,USERS,2025-09-08 16:06:06.776873
USER_5,EXPIRED,DEFAULT,USERS,2025-07-04 16:06:06.776873
USER_6,EXPIRED,DEFAULT,USERS,2025-06-04 16:06:06.776873
USER_7,OPEN,ADMIN_PROFILE,USERS,2025-07-01 16:06:06.776873
USER_8,EXPIRED,APP_PROFILE,USERS,2025-10-08 16:06:06.776873
USER_9,OPEN,ADMIN_PROFILE,USERS,2025-07-08 16:06:06.776873
